,gene_id,go_identifier
59099,AT2G31070,GO:0000165
60192,AT2G32680,GO:0000165
62294,AT2G35650,GO:0000165
62488,AT2G35930,GO:0000165
62531,AT2G35980,GO:0000165
62899,AT2G36470,GO:0000165
63828,AT2G37710,GO:0000165
64254,AT2G38290,GO:0000165
64442,AT2G38470,GO:0000165
65303,AT2G39730,GO:0000165
66125,AT2G40750,GO:0000165
66978,AT2G41940,GO:0000165
67330,AT2G42540,GO:0000165
67677,AT2G43010,GO:0000165
68264,AT2G43790,GO:0000165
68734,AT2G44490,GO:0000165
70189,AT2G46500,GO:0000165
71854,AT3G01480,GO:0000165
71922,AT3G01500,GO:0000165
72152,AT3G01830,GO:0000165
74249,AT3G04790,GO:0000165
74653,AT3G05360,GO:0000165
74865,AT3G05650,GO:0000165
74885,AT3G05660,GO:0000165
75012,AT3G05800,GO:0000165
76974,AT3G09020,GO:0000165
78240,AT3G10800,GO:0000165
78820,AT3G11630,GO:0000165
78973,AT3G11820,GO:0000165
79004,AT3G11840,GO:0000165
80606,AT3G13950,GO:0000165
81661,AT3G15500,GO:0000165
